fiXmArge,日语读音,日语含义,简体中文翻译,繁体中文翻譯,英语翻译,英语化读音
horMELT,ホウメルト,法槌,法槌,法槌,gavel,hor-melt
Coa Tain,コー テイン,法廷,法庭,法庭,court,koh-ah tain
KeI·tion,ケイション,処刑,处刑,處刑,execution,keh-tion
DArime,ダライム,断罪,断罪,斷罪,convict / condemn,dah-ree-meh
Syu Tain,シューテイン,休庭,休庭,休庭,recess / court adjournment,shu tain
cOnzAI,カンザイ,有罪,有罪,有罪,guilty / convict,kan-zai
shi-des,シ デス,死,死亡,死亡,death,shi-des
MEif,メイフ,命,生命,生命,life,mehf
litt JIO,リト ジョ,少女,少女,少女,girl / little female,lit jo
ievil JIO,ievil ジョ,魔女,魔女,魔女,witch / evil female,ee-vil jo
Divil JIO,ディビル ジョ,大魔女,大魔女,大魔女,great witch / devil female,dih-vil jo
eXi',イグザイ,存在,存在,存在,exist / being,ex-eye
ChiDd,チッド,血,血,血,blood,chid
muRm,マーム,殺人,杀人,殺人,murder,ma-rem
muRdon,マードン,殺害者,杀人犯,殺人犯,murderer,mah-r-don
muRmon,マーモン,殺人鬼,杀人魔,殺人魔,serial killer / murderous demon,mah-r-mon
En-NOte,エンノーテ,なれのて,"下场,末路;魔女的""残骸""","下場,末路;魔女的「殘骸」",fate / end; the witch's remains,en-no-teh
hison',ヒソン,人,人类,人類,humans / people,hee-son
JIO,ジョ,女,女性,女性,female,jo
TOK,トク,男,男性,男性,male,tohk
ieyWOO,イーウー,今,"现在,此刻;现代;如今","現在,此刻;現代;如今","right now / the present / nowadays",ee-woo
To-ya-ya,トーヤーヤ,今夜,今夜,今夜,tonight,toh-yah-yah
Toim,トイム,時間,时间,時間,time,toim
Jus·tom,ジュス タム,瞬間,瞬间,瞬間,in an instant / a moment,joost-tom
KaSt,カスト,過去,过去,過去,past,kahst
zanCrue,ザンクルー,残虐,残酷、残忍(的行为),殘酷、殘忍(的行為),cruelty / cruel act,zahn-kroo
merc·lee,マータリー,慈悲,慈悲,慈悲,mercy,merk-lee
dEs·lee,デスリー,絶望,绝望,絕望,despair,des-lee
PyusenS'e,ピュセンス,無垢,"无垢,无污点,纯洁","無垢,無汙點,純潔",pure / immaculate,pyu-sens-eh
DowGuil,ドウル,疑惑,"疑惑,疑虑","疑惑,疑慮",doubt / suspicion,doh-gil
Say mAl,セイ マウ,正常,正常,正常,normal,say mahl
anxAn,アンザン,不安,"不安,担心;焦虑","不安,擔心;焦慮",anxiety / anxious,ahn-zahn
showroof,ショウルーフ,証明,"证明,证实;证据","證明,證實;證據",proof / prove / evidence,shoh-roof
Sar-gedy,サーゲディ,惨劇,"惨剧,惨案,悲惨事件","慘劇,慘案,悲慘事件",tragedy / disaster,sar-geh-dee
SaiVI,サイヴィ,災い,"灾祸,灾难","災禍,災難",catastrophe / disaster,sai-vee
JieII,ジエール,地獄,地狱,地獄,hell,jee-er
FineNd,フィーネンド,おしまい/終わり/終焉,"临终,绝命之际;结束,终点","臨終,絕命之際;結束,終點",finale / end / demise,fi-nend
yu-Range,ユーレンジ,果実,"果实,水果","果實,水果",fruit,yu-renj
GE-mon,ゲモン,門,"门,大门;出入口","門,大門;出入口",gate / door,geh-mon
blasTOac,ブラストーク,冒涜,"冒渎,亵渎","冒瀆,褻瀆",blasphemous / blasphemy,blah-toh-ak
mu·Yon,ム ヨンド,向こう,"正面;另一侧;那边;对方;从今以后","正面;另一側;那邊;對方;從今以後",the other side / over there / opposite,mu yon
zanfession,ザンフェッション,懺悔,忏悔,懺悔,confession,zahn-feh-shun
pray·lee,プレイ リ,祈り,祈祷,祈禱,prayer / pray,pray-lee
sinruits,シンルーツ,真実,"真实,事实","真實,事實",reality / truth (sin + fruits),sin-roo-its
to-Bi,トービー,最悪,"最坏,最糟,最不利","最壞,最糟,最不利",the worst,toh-bee
Taven,テー イツ,天国,天堂;乐园,天國;樂園,heaven / paradise,teh-ven
Hir,ハー,飛べるもの,"能够飞行的(生物);飞升;超脱","能夠飛行的(生物);飛昇;超脫",that which can fly / flying creature,heer
Tei-Tance,テイ タンス,抵抗,抵抗,抵抗,resistance,tei-tahns
WiD,ワイド,世界,世界,世界,world,wid
PaiTum,ペイタム,痛痛,"痛楚,悲痛","痛楚,悲痛",pain / sorrow,pai-tum
MeMe,ミミ,意味,"意义;动机;价值","意義;動機;價值",meaning / motivation / value,meh-meh
FuWana,フワナ,花,花朵,花朵,flower,foo-wah-nah
fOre,フォア,確実,"准确;可靠","準確;可靠",accurate / reliable / for sure,for-eh
KetZen,ケ ツェン,結末,"结尾,终结;(最后的)结果,结局","結尾,終結;(最後的)結果,結局",ending / conclusion / final result,ket-sen
AccU,アキュ,告発,"告发,检举,揭发","告發,檢舉,揭發",accuse / expose,ah-kyu
KolSu,コイス,声,声音,聲音,voice / sound,kohi-su
DaRk rai,ダーク ライ,暗,"黑暗,昏暗的","黑暗;昏暗的",dark / gloomy,dark rai
Sen-Choose,セン チューズ,選択肢,选择项,選擇項,option / choice,sen-chooz
SurC,サーク,生存,生存,生存,survive,serk
Kei-P,ケイプ,継続,"继续,接续","繼續,接續",continue,kei-p
Co-Jundic,コ ジュンディク,矛盾,矛盾,矛盾,contradiction,koh-joon-dik
ULieSo,ユーライソ,嘘,谎言,謊言,lie,you-lie-so
Memoid,メモイド,思い出/記憶,"记忆;回忆;纪念","記憶;回憶;紀念",memory / remembrance,mem-oid
Per·SemOn,パセモン,見世物,"杂耍;出洋相;当众出丑","雜耍;出洋相;當眾出醜",performance / spectacle / sideshow,per-sem-on
mayCtION,メイクション,鳴動,"鸣动,轰隆作响","鳴動,轟隆作響",rumble / roar / thundering,mayk-shun
sAiMoku,サイモク,沈黙,"沉默,寂静","沉默,寂靜",silence,sai-moh-ku
E-gOtable,イゴタブル,居心地,"心情,感觉","心情,感覺",feeling / comfort,ee-go-tah-bul
a-Wet,アウェット,汗,"汗;返潮;努力","汗;返潮;努力",sweat / effort,ah-wet
AyAmis,アヤミス,過ち,"过失,罪过;错误,失败","過失,罪過;錯誤,失敗",fault / mistake,ah-yah-mis
LyuzUn,リュズン,理由,"理由,缘故;借口","理由,緣故;藉口",reason / excuse,lyu-zoon
JokeDan,ジョケダン,冗談,"玩笑,戏言,笑话","玩笑,戲言,笑話",joke,jo-keh-dahn
We-Ho,ウェホ,方法,"方法;办法","方法;辦法",way / method,weh-hoh
showence,ショウエンス,証拠,"证据,证明","證據,證明",evidence / proof,shoh-ens
KeyGa,キーガ,鍵,钥匙,鑰匙,key,kee-gah
FayO,フェイオ,顔,"面孔;表情,神色","面孔;表情,神色",face / expression,fay-oh
CalmSey,コルセイ,冷静,"沉着,清醒,冷静","沉著,清醒,冷靜",calm / composure,kahm-seh
ShiFey,シフェイ,失敗,失败,失敗,fail / failure,shi-feh
Zelln,ゼリン,全員,全体人员,全體人員,all members / everyone,zel-n
Coword,コウワード,言葉,"话语,言辞","話語,言辭",words / speech,koh-word
Kuth,クース,口,"口;嘴","口;嘴",mouth,koos
ConWa,カンワ,会話,"会话。谈话,对话","會話。談話,對話",conversation,kon-wah
siNleEr,シンネア,姉,姐姐,姐姐,older sister,sin-lee-er
weNleEy,シェー,お姉ちゃん,"姐姐(昵称)","姐姐(暱稱)",older sister (affectionate),wen-lee-ey
siMoEr,シモア,妹,妹妹,妹妹,younger sister,shi-moh-er
niNeEr,ニネア,兄,哥哥,哥哥,older brother,nin-eh-er
niNeEy,ニニー,お兄ちゃん,"哥哥(昵称)","哥哥(暱稱)",older brother (affectionate),nin-eh-ey
niTOEr,ニトア,弟,弟弟,弟弟,younger brother,nih-toh-er
hA-k,ハーク,話,"故事;话题;传闻;商谈;道理;话","故事;話題;傳聞;商談;道理;話",talk / story / topic,hah-k
KuwPace,クーウペース,空間,"空间;空隙","空間;空隙",space,kuu-pehs
riNjity,リンジティ,現実,"现实;真实","現實;真實",reality,rin-jih-tee
Commity,コミティ,大抵,"大抵;大概;普通","大抵;大概;普通",common / generally,kom-ih-tee
kOht,コート,心,心,心,heart,kot
SeNaji,セナジ,同じ,"同样,一样","同樣,一樣",same,seh-nah-jee
nAddY,ナディ,仲間,"伙伴;同类","夥伴;同類",buddy / companion,nad-dee
Trench,トレンチェ,友達,"朋友,友人","朋友,友人",friend,trench
rEcanRey,リカンレイ,関係,关系,關係,relation,reh-kahn-rey
cUrOi,クロイ,呪い,诅咒,詛咒,curse,koo-roi
sHo-pulse,ショーパルス,衝動,"冲动;(精神上的)打击","衝動;(精神上的)打擊",impulse,sho-puls
cLowKe,クロウケ,道化,"小丑,丑角","小丑,丑角",clown,klohk
CaNoSiri,カノシリ,罵り,"大声吵闹,大骂","大聲吵鬧,大罵",scolding / verbal abuse,kah-no-sih-ree
gAMatience,ガマシエンス,我慢,"忍耐,容忍,自制;将就,克服,让步","忍耐,容忍,自制;將就,克服,讓步",patience,gah-mah-shens
LiGh rai,ライ ガイ,光,光,光,light,li rai
eMoJoh,イモージョ,感情,"感情,情绪","感情,情緒",emotion,eh-moh-joh
KaRaDy,カラディ,体,"身体;体质;体格;健康","身體;體質;體格;健康",body / health,kah-rah-dee
kAn-deN,カンデン,管理者,管理者,管理者,director / manager,kan-den
TadACt,タダクト,正しさ,正确,正確,correctness / fact,tah-dakt
tEnEKy,テネキー,敵,"仇敌;对手;妨碍","仇敵;對手;妨礙",enemy / obstacle,ten-eh-kee
SaLook,サルック,様/様子,"样子,状态;姿势,形状","樣子,狀態;姿勢,形狀",appearance / look / shape,sah-look
MokpOSe,モクポセ,目的,"目的;目标","目的;目標",purpose,mok-poh-seh
sAgAin,サゲイン,再度,再度,再度,again,sah-gehn
son',ソン,千,千,千,thousand,son
nEYar,ニャー,年,年,年,year,ney-ar
LiE,リー,愛,爱,愛,love,lee
hAkseCution,ハクセキューシン,迫害,"迫害,虐待","迫害,虐待",persecution,hak-seh-kyu-shun
GoMi,ゴミ,神,"上帝;神","上帝;神",God (note: pronunciation matches Japanese ゴミ = trash),goh-mee
kYoNAihim,キョナイヒイム,虚無,虚无,虛無,nothingness / nihility,kyoh-nai-heim
UnneYo,アンネヨ,不要,"不要,不需要;无用;没有必要","不要,不需要;無用;沒有必要",unnecessary / not needed,oon-neh-yoh
neYo,ネヨ,必要,"必须,需要","必須,需要",necessary / need,neh-yoh
oBChak,オブチャク,執着,"执着,固执","執著,固執",obsession,ob-chak
AbiRyoku,アビリティ,能力,能力,能力,ability,ah-bih-ryoh-ku
Reka,レカ,赤,红色,紅色,red,reh-kah
Blo,ブロ,青,蓝色,藍色,blue,bloh
Ro-Coh,ロコオ,叫び/咆哮,"吼叫,叫喊","吼叫,叫喊",roar / shout,roh-koh
conf-Soy,コンフソイ,争い,"纠纷,争吵,争执","糾紛,爭吵,爭執",conflict,kon-foi
wachi,ワチ,一,一,一,one,wah-chee
tuni,トゥニ,二,二,二,two,too-nee
san,サン,三,三,三,three,sahn
foshi,フォシ,四,四,四,four,fo-shee
fago,ファゴ,五,五,五,five,fah-go
sik,シク,六,六,六,six,sik
naven,ナブン,七,七,七,seven,nah-ven
echi,エチ,八,八,八,eight,eh-chee
nakyu,ナキュ,九,九,九,nine,nah-kyu
tone,トン,十,十,十,ten,tohn
tone wachi,トンワチ,十一,十一,十一,eleven,tohn wah-chee
tone tuni,トントゥニ,十二,十二,十二,twelve,tohn too-nee
tone thn,トンスン,十三,十三,十三,thirteen,tohn sun
haku,ハク,百,百,百,hundred,hah-ku
hAte,ハテ,手,手,手,hand,haht
kiNbOO,キンブー,禁忌,禁忌,禁忌,taboo,kin-boo
yOuLugiVe,ユルギヴェ,許し,"宽恕,赦免","寬恕,赦免",forgive,you-luh-gih-veh
dEstiMay,デスディメイ,運命,命运,命運,destiny,des-tih-may
imJune,イムジュン,不純,不纯,不純,impure,im-joon
nOzuki,ノズキ,気付き,"觉察,发觉;苏醒","覺察,發覺;甦醒",notice / realize,noh-zu-kee
Doubg,ダグ,疑い,"疑惑,怀疑;嫌疑,猜疑","疑惑,懷疑;嫌疑,猜疑",doubt / suspicion,dah-bug
iNiFicAnce,イニフィカンス,意義,意义,意義,significance,ih-nih-fih-kahns
Alte,オルテ,全て,全部,全部,all,ahl-teh
mOurce,モース,元,"起源;根本;原因","起源;根本;原因",source / origin,mohrs
sAnAnd,サナンド,砂,沙子,沙子,sand,sah-nah-nd
weRer,ウェラー,迎え,"迎接;死期","迎接;死期",welcome / to welcome,weh-rer
Tarip,タリップ,旅,旅行,旅行,trip / journey,tah-rip
hEayou,ヒユ,治癒/信仰,治愈或信仰,治癒或信仰,healing or faith,heh-yoh
Nii,ニー,ちがう/ない/いや/やめて/いらない,"错误的;不存在的;不需要的;表否定","錯誤的;不存在的;不需要的;表否定",no / wrong / don't / not,nee
Sha-Rui,シャルイ,明るい/明るく,"明亮的;鲜明的","明亮的;鮮明的",bright,shah-roo-ee
SuZai,スーザイ,臭い/臭く,"臭的;可疑的;有讨厌气味的","臭的;可疑的;有討厭氣味的",smelly / suspicious,soo-zai
Cocary,コーカリー,恐れ/恐く,"不安的;可怕的","不安的;可怕的",scary / fearful,koh-kah-ree
kA-ad,カアド,悲しい/悲しく,令人悲伤的,令人悲傷的,sad,kah-ad
So-meRRy,ソーメリー,ごめんなさい,"心怀歉意的;请原谅我","心懷歉意的;請原諒我",I'm sorry,soh-mer-ee
fAnoSy,ファノシー,楽しい/楽しく,"快乐的,高兴的","快樂的,高興的",happy / fun,fah-no-see
Ligh-Luw,ライルウ,軽い/軽く,"轻的;轻松的;不重要的;轻率的","輕的;輕鬆的;不重要的;輕率的",light (weight) / unimportant,lai-loo
nAng,ナン,長い/長く,"长的,远的;长久的","長的,遠的;長久的",long / lengthy,nahng
ShoJikA,ショジカ,短い/短く,短,短,short,sho-jih-kah
Baru,バル,悪い/悪く,坏,坏,bad,bar-oo
Pen·Sii,ペンシー,苦しい/苦しく,痛苦,痛苦,painful / agonizing,pen-see
hArLie,ハーリー,辛い/辛く,艰难,艰难,harsh / painful / difficult,har-lee
Figeh`Sii,フィゲ シー,激しい/激しく,剧烈,剧烈,intense / fierce,fee-geh-shee
HiLible,ヒリブル,酷い/酷く,"残酷,可怕;严重","殘酷,可怕;嚴重",terrible / cruel,hee-lih-bul
ComChiYoi,カンコチヨイ,心地よい/心地よく,舒适,舒適,comfortable,kom-chee-yoi
wAsHe,ワシェ,欲しい/欲しく,"想要;希望","想要;希望",want / desire,wah-sheh
emBasy,エンバシー,恥ずかしい/恥ずかしく,"惭愧的;羞耻的;难为情的","慚愧的;羞恥的;難為情的",embarrassed,em-bah-see
QuYakully,クヤクリー,早い/早く,"快的;早的","快的;早的",fast / quick / early,koo-yah-kul-ee
Tsu-dUll,ツヅル,つまらない/つまらなく,"无聊的;没意思的","無聊的;沒意思的",boring / dull,tsu-dool
nOi-sAi,ノイサイ,うるさい/うるさく,"烦人的,吵闹的","煩人的,吵鬧的",noisy / annoying,noi-sai
iTohRable,イトオラブル,愛おしい/愛おしく,"可怜,可爱","可憐,可愛",adorable / pitiable,ee-toh-rah-bul
IraPiss,イラピス,苛立つ,"烦躁,焦急","煩躁,焦急",irritated / pissed off,ee-rah-pis
beAukShi,ビュークシ,美しい/美しく,"美丽的;高尚的","美麗的;高尚的",beautiful,byook-shee
YowEAk,ヨウィーク,弱い/弱く,"脆弱的;软弱的","脆弱的;軟弱的",weak,yoh-week
tSuYoNg,ツツヨング,強い/強く,"强壮的;坚定的;强烈的;擅长的","強壯的;堅定的;強烈的;擅長的",strong,tsu-yong
aLFish,アルフィッシュ,甘え,"示弱的;以依赖维持关系的","示弱的;以依賴維持關係的",showing weakness / self-indulgent,ahl-fish
hAquEi,ヘイケイ,憎い,"钦佩;可恨","欽佩;可恨",admirable / hateful,hah-kweh
Was-nAi,ワエス ナイ,もったいない,"不胜惶恐的;过分(好)的;浪费的","不勝惶恐的;過分(好)的;浪費的",overwhelming / wasteful / regrettable,wahs-nai
CraeyTA',クレイタ,壊れる/壊れた,"破裂的;毁坏的","破裂的;毀壞的",broken / cracked,krey-tah
madRazy,マドリイジー,狂った,"疯狂的;不理智的","瘋狂的;不理智的",crazy / mad,mad-rah-zee
FooKah,フーカ,愚かな/愚かに,愚蠢的,愚蠢的,foolish,foo-kah
oCcurreLe,アクセル,発生する/発生した/起こり/起こした,发生;引起,發生;引起,to occur / to happen,ok-er-rel-eh
Ya-Rame,ヤレム,焼ける/焼けた,燃烧,燃燒,to burn / burning,yah-rah-meh
pAciKa',パシカ',静かな/静かに,"静止的;平静的;寂静的","靜止的;平靜的;寂靜的",calm / peaceful,pah-sih-kah
Su-lime,スーライム,崇高な/崇高に,"崇高的;高尚的","崇高的;高尚的",sublime,soo-lime
gDie,グダイ,偉大な/偉大に,伟大的,偉大的,great,g-dee
koNSony,コンソニー,こんな/こんなに,"这样;如此","這樣;如此",so / like this,kon-soh-nee
fAnSy,ファンシイ,空想な/空想に,"空想的;幻想的","空想的;幻想的",fantasy / fanciful,fahn-see
i·zana-vited,イザナ・ヴィイテッド,誘われる/誘われた,"被引导的;被引诱的;被邀请的","被引導的;被引誘的;被邀請的",guided / invited,ee-zah-nah-vi-ted
Oqun,オーケン,開く/開いた,"开启;打开","開啟;打開",open / to open,oh-kun
kee'on,キオン,来る/来た,"继续;前进;持续","繼續;前進;持續",come / to come,keh-on
Vani·tA,ヴァニタ,消える/消えた,"虚无;空无;无效","虛無;空無;無效",vanish / void / empty,vah-nee-tah
RacDA-m,ラクダーム,落ちる/落ちた,"掉落;坠落","掉落;墜落",fall / to fall,rahk-dah-m
GoKuu,ゴクー,行く/行った,"去,去了","去,去了",go / to go,goh-koo
Know-Truw,ノク・トゥル,分かる/分かった,"知晓,明白","知曉,明白",know / to know truth,noh-troo
RuGtie,リグル,逃げる/逃げた,逃,逃,to escape / to flee,rug-tee
Sike,サイケ,好く/好いた,喜欢,喜歡,to like / to favor,sai-keh
gE-ddoS,ゲドス,取り戻す/取り戻した,"恢复;已经恢复","恢復;已經恢復",recover / recovered,geh-dos
LAikIll,ライキル,生きる/生きた,"活,活着","活,活著",to live / to be alive,laik-il
AccUhEarts,アキュハーツ,告発する/告発した,"告发,检举,揭发","告發,檢舉,揭發",to accuse,ah-kyu-harts
ReDogh',リダ,届く/届いた,"传达,传达到","傳達,傳達到",to reach / to convey,reh-dog
forYulvu,フォルユルヴ,許す/許した,"许可,允许","許可,允許",to allow / to permit,for-yul-vu
FinecloWt,ファインクラウト,探し出す/探し出した,查出,查出,to find out,fain-klout
SurColl,サークル,生存する/生存した,生存,生存,to survive,ser-kol
May-Ring,メイ リン,鳴る/鳴った,"鸣;响;发出声音","鳴;響;發出聲音",to ring / to sound / to resound,may-ring
wArEIAl,ヴァアティアル,待つ/待った,等待,等待,to wait,war-tee-al
baErI,バール,ある/あった,"有,存在","有,存在",to be / to exist,bah-eh-ree
Kei-Pine,ケイパイン,継続する/継続した,"继续,接续","繼續,接續",to continue,kei-pain
LaiLau,ライラウ,笑う/笑った,笑,笑,to laugh,lai-lau
muR,マー,殺す/殺した,杀,殺,to kill,mar
hATuRt,ハタート,始まる/始まった,开始,開始,to begin / to start,hah-turt
Seel,シール,見る/見た,看,看,to see / to look,seel
RE-tal,リタル,至る/至った,至;到,至;到,to reach / to arrive at,reh-tal
Acormell,アカルメル,追い詰める/追い詰めた,追逼;逼迫,追逼;逼迫,to corner / to drive into a corner,ah-kor-mel
shid,シッド,死ぬ/死んだ,死,死,to die,shid
Dasou,ダサウ,出る/出た,出,出,to leave / to go out,dah-so
NatBeRum,ナビルム,成る/成った,成,成,to become,nah-beh-rum
Stmal,ストゥマル,止まる/止まった,停,停,to stop,stu-mal
riEl,リエル,帰る/帰った,回;返回,回;返回,to return / to go home,ree-el
tEna,テナ,泣く/泣いた,哭,哭,to cry,teh-nah
HoEll,ホエル,抱える/抱えた,抱,抱,to hold / to embrace,ho-el
ConWas,カンワス,会話する/会話した,会话;对话,會話;對話,to converse / to talk,con-was
deRaw,ダラウ,巡る/巡った,巡,巡,to go around / to circulate,deh-raw
Su-Zu,スーズ,捨てる/捨てた,丢;扔,丟;扔,to throw away,soo-zoo
mayCs,メイクス,鳴動する/鳴動した,鸣动,鳴動,to rumble / to roar,mayks
He-K,ヒーク,聞く/聞いた,听,聽,to listen / to ask,heh-k
MotINg,モーティング,もたらす/もたらした,"带来,带来","帶來,帶來",to bring about,moht-ing
Haisu,ハイス,隠す/隠した,藏,藏,to hide / to conceal,hai-su
HiroDemic,ヒロデミック,蔓延する/広がる/蔓延した/広がった,"蔓延;扩散","蔓延;擴散",to spread (epidemic),hee-roh-deh-mik
MisGael,ミスガエル,開ける/開けた,打开,打開,to open (something),mis-gah-el
cOreak,コレーク,壊す/壊した,破坏,破壞,to break / to destroy,koh-rek
vAni·Ell,ヴェニエル,消える/消える,消失,消失,to vanish,van-ee-el
coLL-Kuz,コルークズ,崩れる/崩れた,崩溃,崩潰,to collapse / to crumble,kol-kuz
dOmiHite,ドミハイト,支配する/支配した,支配,支配,to dominate / to rule,doh-mee-hait
Ukecept,ウケセプト,受け入れる/受け入れた,接受,接受,to accept,oo-keh-sept
enJi-rel,エンジリル,じれる/じれた,"着急,焦躁","著急,焦躁",to be irritated,en-jee-rel
UshtLse,ウスツルセ,失う/失った,失,失,to lose,oost-su-seh
inKel,インケル,増える/増えた,增,增,to increase,ing-kel
weRel,ウェルル,迎える/迎えた,迎接,迎接,to welcome / to meet,weh-rel
yO-pare,ヨーペア,用意する/用意した,准备,預備,to prepare,yo-pah-reh
linAg,リンゲ,戮ぐ/戮いだ,杀戮,殺戮,to slaughter / to slay,lin-ag
sAvOte,サオート,捧げる/捧げた,奉献,奉獻,to offer / to dedicate,sah-voh-teh
tSuTeiL,ツテイル,伝える/伝えた,传达,傳達,to convey / to transmit,tsu-tail
mitAfiL,ミタフィル,満たす/満たした,满足,滿足,to fulfill / to satisfy,mit-ah-fil
DoubgUl,ダウガウル,疑う/疑った,疑,疑,to doubt,doh-gah-ool
WasUget,ワスゲッ,忘れる/忘れた,忘,忘,to forget,wahs-oo-get
cOmmiCus,コミカス,犯す/犯した,犯,犯,to commit (a crime),kom-mih-kus
nOLeave,ノリーヴ,残す/残した,留下,留下,to leave behind,no-leev
mAloom,マルーム,迫る/迫った,逼近,逼近,to approach / to press,mah-room
kiRstY,カースティ,退く/退いた,退,退,to retreat / to step back,ker-stee
smELL,スメル,(ーするのを)やる/やめた,"(做某事)做/停止","(做某事)做/停止",to do / to stop doing,smel
Ro-Cob,ロコブ,叫ぶ/叫んだ,喊,喊,to shout,roh-kob
LEA,レア,さあ,"来吧;表示劝诱或催促","來吧;表示勸誘或催促",come on / well then,leh-ah
namuNa,ナムナ,無惨に/無惨な,"残酷;凄惨","殘酷;悽慘",tragic / cruel,nah-mu-nah
Was·Da,ワエス ダ,無駄に/無駄な,"徒劳;无用","徒勞;無用",futile / useless,wahs-dah
Su·ReaDy,ス レディ,既に,"已经,早就","已經,早就",already,su-reh-dee
Meh·BeRac,メ ビラッ,恐らく,"恐怕,或许,大概,一定","恐怕,或許,大概,一定",perhaps / maybe / surely,meh-beh-rak
deFuTai,デフタイ,絶対/必ず,"无异议地,无条件地,无差错地,绝对","無異議地,無條件地,無差錯地,絕對",definitely / absolutely,deh-fu-tai
gu-n,グン,すぐ,"立即,马上","立即,馬上",immediately / right now,goon
Sonikah,ソニカ,何か,"不知何故;或表示疑问/反问语气","不知何故;或表示疑問/反問語氣",for some reason,son-ee-kah
eATah·Guy,イータガイ,お互いに,"彼此,互相","彼此,互相",each other,ee-tah-gai
Litto,リット,ちょっと,"恰好;宛如;整(时),完全一致","恰好;宛如;整(時),完全一致","just / exactly",lit-toh
NAi,ナイ,何故,"何故,为什么","何故,為什麼",why,nai
Ja·Da,ジャ ダ,ただ,"仅仅,只是","僅僅,只是",just / only,ja-dah
oNkhe,オンケ,～だけ,"仅有,只能;表示程度或范围的限制","僅有,只能;表示程度或範圍的限制",only / merely,on-keh
Mof,モフ,もし,"如果,假如;即使万一……","如果,假如;即使萬一……",if / supposing,mohf
Soda,ソダ,そんな/それほど,"那么,那样(程度)","那麼,那樣(程度)",so / that much,soh-dah
Dony-Toim,ドニートイム,どんな時でも,无论何时,無論何時,whenever / any time,doh-nee-toim
