魔女語        , 含義                                          , 詞源/備註
ConWa         , 會話。談話，對話                              , 英語「conversation」+日語「会話(kaiwa)」
hA-k          , 故事；話題；傳聞；商談；道理；話              , 日語「話(hanashi)」+英語「talk」
KuwPace       , 空間；空隙                                    , 日語「空間(kūkan)」+英語「space」
riNjity       , 現實；真實                                    , 英語「reality」+日語「現実(genjitsu)」
Commity       , 大抵；大概；普通                              , 英語「common」+日語「大抵(taitei)」
kOht          , 心                                            , 日語「心(kokoro)」+英語「heart」
SeNaji        , 同樣，一樣                                    , 英語「same」+日語「同じ(onaji)」
nAddY         , 夥伴；同類                                    , 日語「仲間(nakama)」+英語「buddy」
Trench        , 朋友，友人                                    , 日語「友達(tomodachi)」+英語「friend」
rEcanRey      , 關係                                          , 英語「relation」+日語「関係(kankei)」
cUrOi         , 詛咒                                          , 英語「curse」+日語「呪い(noroi)」
sHo-pulse     , 衝動；(精神上的)打擊                          , 日語「衝動(shōdō)」+英語「impulse」
cLowKe        , 小丑，丑角                                    , 英語「clown」+日語「道化(dōke)」
CaNoSiri      , 大聲吵鬧，大罵                                , 日語「罵り(nonoshiri)」
gAMatience    , 忍耐，容忍，自制；將就，克服，讓步            , 日語「我慢(gaman)」+英語「patience」
LiGh rai      , 光                                            , 英語「light」+「ray」
eMoJoh        , 感情，情緒                                    , 英語「emotion」+日語「感情(kanjō)」
KaRaDy        , 身體；體質；體格；健康                        , 日語「体(karada)」+英語「body」
kAn-deN       , 管理者                                        , 日語「管理者(kanrisha)」+英語「director」
TadACt        , 正確                                          , 日語「正しさ(tadashisa)」+英語「fact」或「correct」
tEnEKy        , 仇敵；對手；妨礙                              , 日語「敵(teki)」+英語「enemy」
SaLook        , 樣子，狀態；姿勢，形狀                        , 日語「様(sama)」+英語「look」
MokpOSe       , 目的；目標                                    , 日語「目的(mokuteki)」+英語「purpose」
sAgAin        , 再度                                          , 日語「再度(saido)」+英語「again」
son'          , 千                                            , 日語「千(sen)」+英語「thousand」
nEYar         , 年                                            , 日語「年(nen)」+英語「year」
LiE           , 愛                                            , 拼寫同英語「lie-謊言」
hAkseCution   , 迫害，虐待                                    , 日語「迫害(hakugai)」+英語「persecution」
GoMi          , 上帝；神                                      , 英語「GOD」+日語「神(kami)」。讀音同日語「ゴミ-垃圾」
kYoNAihim     , 虛無                                          , 日語「虚無(kyomu)」+「ない(nai)」+拉丁語「nihil」
neYO          , 必須，需要                                    , 英語「necessary」+日語「必要(hitsuyō)」
UnneYO        , 不要，不需要；無用；沒有必要                  , 否定前綴「un-」+「neYO」
oBChak        , 執著，固執                                    , 英語「obsession」+日語「執着(shūchaku)」
AbiRyoku      , 能力                                          , 英語「ability」+日語「能力(nōryoku)」
Reka          , 紅色                                          , 英語「red」+日語「赤(aka)」
Blo           , 藍色                                          , 英語「blue」+日語「青(ao)」
Ro-Coh        , 吼叫，叫喊                                    , 英語「Roar」+日語「咆哮(hōkō)」
conf-Soy      , 糾紛，爭吵，爭執                              , 英語「conflict」+日語「争い(arasoi)」
wachi         , 一                                            , 英語「one」+日語「一(ichi)」
tuni          , 二                                            , 英語「two」+日語「二(ni)」
san           , 三                                            , 日語「三(san)」
foshi         , 四                                            , 英語「four」+日語「四(shi)」
fago          , 五                                            , 英語「five」+日語「五(go)」
sik           , 六                                            , 英語「six」+日語「六(roku)」
naven         , 七                                            , 日語「七(nana)」+英語「seven」
echi          , 八                                            , 英語「eight」+日語「八(hachi)」
nakyu         , 九                                            , 英語「nine」+日語「九(kyū)」
tone          , 十                                            , 日語「十(tō)」+英語「ten」
tone wachi    , 十一                                          ,
tone tuni     , 十二                                          ,
tone thn      , 十三                                          , 「tone」+英語「thirteen」
haku          , 百                                            , 日語「百(hyaku)」
hAte          , 手                                            , 英語「hand」+日語「手(te)」
kiNbOO        , 禁忌                                          , 日語「禁忌(kinki)」+英語「taboo」
yOuLugiVe     , 寬恕，赦免                                    , 日語「許し(yurushi)」+英語「forgive」
dEstiMay      , 命運                                          , 英語「destiny」+日語「運命(unmei)」
imJune        , 不純                                          , 英語「impure」+日語「不純(fujun)」
nOzuki        , 覺察，發覺；甦醒                              , 英語「notice」+日語「気付き(kizuki)」
Doubg         , 疑惑，懷疑；嫌疑，猜疑                        , 英語「doubt」+日語「疑問(gimon)」
iNiFicAnce    , 意義                                          , 日語「意義(igi)」+英語「significance」
Alte          , 全部                                          , 英語「all」+日語「全て(subete)」
mOurce        , 起源；根本；原因                              , 日語「元(moto)」+英語「source」
sAnAnd        , 沙子                                          , 英語「sand」+日語「砂(suna)」
weRer         , 迎接；死期                                    , 英語「welcome」+日語「迎え(mukae)」
Tarip         , 旅行                                          , 日語「旅(tabi)」+英語「trip」
hEayou        , 治癒或信仰                                    , 英語「heal」+日語「治癒(chiyu)」、「信仰(shinkō)」
Nii           , 錯誤的；不存在的；不需要的；表否定            ,
DaRk rai      , 昏暗的                                        , 英語「dark」+日語「暗い(kurai)」
Sha-Rui       , 明亮的；鮮明的                                , 英語「shine」+日語「明るい(akarui)」
SuZai         , 臭的；可疑的；有討厭氣味的                    , 英語「smelly」+日語「臭い(kusai)」
Cocary        , 不安的；可怕的                                , 日語「恐い(kowai)」+英語「scary」
kA-ad         , 令人悲傷的                                    , 日語「悲しい(kanashii)」+英語「sad」
So-meRRy      , 心懷歉意的；請原諒我                          , 英語「sorry」+日語「ごめんなさい(gomennasai)」
fAnoSy        , 快樂的，高興的                                , 英語「fan」+日語「楽しい (tanoshii)」
Ligh-Luw      , 輕的；輕鬆的；不重要的；輕率的                , 英語「light」+日語「軽い(karui)」
nAng          , 長的，遠的；長久的                            , 日語「長い(nagai)」+英語「long」
ShoJikA       , 短的；簡短的；短淺的                          , 英語「short」+日語「短い(mijikai)」
Baru          , 不好的；不正常                                , 英語「bad」+日語「悪い(warui)」
Pen·Sii       , 痛苦的；艱難的                                , 英語「pain」+日語「苦しい(kurushii)」
hArLie        , 辛苦的，難受的；刻薄的                        , 英語「hard」+日語「辛い(tsurai)」
Figeh`Sii     , 激烈的；嚴厲的；過深的；頻繁的                , 英語「fierce」+日語「激しい(hageshii)」
HiLible       , 殘酷；粗暴；嚴重                              , 日語「酷い(hidoi)」+英語「terrible」
ComChiYoi     , 愉快，舒適，愜意                              , 英語「comfortable」+日語「心地よい(kokochiyoi)」
wAsHe         , 想要；希望                                    , 英語「want」+日語「欲しい(hoshii)」
emBasy        , 慚愧的；羞恥的；難為情的                      , 英語「embarrassed」+日語「恥ずかしい(hazukashii)」
QuYakully     , 快的；早的                                    , 英語「quickly」+日語「早い(hayai)」
Tsu-dUll      , 無聊的；沒意思的                              , 日語「つまらない(tsumaranai)」+英語「dull」
nOi-sAi       , 煩人的，吵鬧的                                , 英語「Noisy」+日語「うるさい(urusai)」
iTohrable     , 可憐，可愛                                    , 日語「愛おしい(itooshii)」+英語「adorable」
IraPiss       , 煩躁，焦急                                    , 日語「苛立つ(iradatsu)」+「piss」
beAukShi      , 美麗的；高尚的                                , 英語「beautiful」+日語「美しい(utsukushii)」
YowEAk        , 脆弱的；軟弱的                                , 日語「弱い(yowai)」+英語「weak」
tSuYoNg       , 強壯的；堅定的；強烈的；擅長的                , 日語「強い(tsuyoi)」+英語「strong」
aLFish        , 示弱的；以依賴維持關係的                      , 日語「甘え(amae)」+英語「selfish」
hAquEi        , 欽佩；可恨                                    , 英語「hate」+日語「憎い(nikui)」
Was·nAi       , 不勝惶恐的；過分(好)的；浪費的                , 英語「waste」+日語「もったいない(mottainai)」
CraeyTA'      , 破裂的；毀壞的                                , 英語「crack」+日語「壊れた(kowareta)」
madRazy       , 瘋狂的；不理智的                              , 英語「mad」+「crazy」
FooKah        , 愚蠢的                                        , 英語「fool」+日語「愚かな(orokana)」
oCcurreLe     , 引起的；發動的；出現的；存在的                , 英語「occur」
Ya-Rame       , 燃燒的                                        , 日語「焼ける(yakeru)」+英語「flame」
pAciKa'       , 靜止的；平靜的；寂靜的                        , 英語「pacific」+日語「静か(shizuka)」
Su-lime       , 崇高的；高尚的                                , 日語「崇高(sūkō)」+英語「sublime」
gDie          , 偉大的                                        , 英語「great」+日語「偉大(idai)」
koNSony       , 這樣；如此                                    , 日語「こんなに(konnani)」+英語「so」
fAnSy         , 空想的；幻想的                                , 英語「fantasy」
LEA           , 來吧；表示勸誘或催促                          ,
namuNa        , 殘酷；悽慘                                    , 日語「無惨(muzan)」+英語「nasty」?
Was·Da        , 徒勞；無用                                    , 英語「waste」+日語「無駄(muda)」
Su·Ready      , 已經，早就                                    , 日語「既に(sudeni)」+英語「already」
Meh·BeRac     , 恐怕，或許，大概，一定                        , 英語「maybe」+日語「恐らく(osoraku)」
deFuTai       , 無異議地，無條件地，無差錯地，絕對            , 英語「definitely」+日語「絶対(zettai)」
gu-n          , 立即，馬上                                    , 日語「すぐ(sugu)」+英語「now」?
Sonikah       , 不知何故；或表示疑問/反問語氣                 , 日語「何か(nanika)」
eATah·Guy     , 彼此，互相                                    , 英語「each other」+日語「お互いに(otagai)」
Litto         , 恰好；宛如；整(時)，完全一致                  , 日語「ちょうど(chōdo)」
NAi           , 何故，為什麼                                  , 英語「why」+日語「何故(naze)」
Ja·Da         , 僅僅，只是                                    , 英語「just」+日語「ただ(tada)」
oNkhe         , 僅有，只能；表示程度或範圍的限制              , 英語「only」+日語「だけ(dake)」
Mof           , 如果，假如；即使萬一……                        , 日語「もし(moshi)」+英語「if」
Soda          , 那麼，那樣(程度)                              ,
Dony-Toim     , 無論何時                                      , 英語「whenever」
Dony-How      , 無論如何                                      , 英語「however」
Batte         , 因為；根據；來自；通過                        , 日語「…によって/から(niyotte/kara)」
Matill        , 仍然；還；還是；依舊                          , 日語「まだ(mada)」+英語「still」
VariZaMa      , 種種，形形色色，各種各樣                      , 英語「various」+日語「様々(samazama)」
Kanather      , 相當；出乎意料                                , 日語「かなり(kanari)」+英語「rather」
fOrAba        , 如果是為了···                                 , 英語「for」+日語「ためならば(tamenaraba)」
nEimoNai      , 都不是                                        , 英語「neither」+日語「どちらでもない(dochira demonai)」
itsver        , 曾經，以前；不知不覺；遲早                    , 日語「いつか(itsuka)」
hAnT          , 怎樣，如何；多麼；為什麼                      , 英語「how」+日語「何と(nanto)」
yOUlowly      , 有餘地，寬敞舒適，充裕；慢，不著急            , 日語「ゆっくり(yukkuri)」+英語「slowly」
Bavellabion   , 滿溢著世人難以想象的、日益增長惡化的詛咒的言詞, 日語中無對應詞
Vani·tA       , 虛無；空無；無效                              ,
GoKuu         , 去，去了                                      , 英語「go」+日語「行く(iku)」?
Vani·Ell      , 消失                                          , 英語「vanish」
kee’on        , 繼續；前進；持續                              , 英語「Go on」
Oqun          , 打開；開啟                                    ,
RacDA-m       , 掉落；墜落                                    ,
LAikIll       , 活，活著                                      , (設定集內字體難以辨認，可能為LAiKIll或LAiKlll)
ReDogh'       , 傳達，傳達到                                  ,
forYulvu      , 許可，允許                                    ,
FinecloWt     , 查出                                          , 英語「find out」
SurColl       , 生存                                          ,
Know-Truw     , 知曉，明白                                    , 英語「know truth」
i·zana-vited  , 被引導的；被引誘的；被邀請的                  , 日語「誘う(izanau)」+英語「invited」
Za-**rk       , 粗俗用語                                      , 日語「雑魚(zako)」+英語「fuck」?
shid          , 死；死的                                      ,
gE-ddoS       , 恢復；已經恢復                                ,
